ID,Group,time,tPCB,PCB_1,PCB_2,PCB_3,PCB_4,PCB_5,PCB_6,PCB_7,PCB_8,PCB_9,PCB_10,PCB_11,PCB_12+13,PCB_14,PCB_15,PCB_16,PCB_17,PCB_18+30,PCB_19,PCB_20+28,PCB_21+33,PCB_22,PCB_23,PCB_24,PCB_25,PCB_26+29,PCB_27,PCB_31,PCB_32,PCB_34,PCB_35,PCB_36,PCB_37,PCB_38,PCB_39,PCB_40+71,PCB_41,PCB_42,PCB_43,PCB_44+47+65,PCB_45,PCB_46,PCB_48,PCB_49+69,PCB_50+53,PCB_51,PCB_52,PCB_54,PCB_55,PCB_56,PCB_57,PCB_58,PCB_59+62+75,PCB_60,PCB_61+70+74+76,PCB_63,PCB_64,PCB_66,PCB_67,PCB_68,PCB_72,PCB_73,PCB_77,PCB_78,PCB_79,PCB_80,PCB_81,PCB_82,PCB_83,PCB_84,PCB_85+116,PCB_86+97+109+119,PCB_87+125,PCB_88,PCB_89,PCB_90+101+113,PCB_91,PCB_92,PCB_93+100,PCB_94,PCB_95,PCB_96,PCB_98,PCB_99,PCB_102,PCB_103,PCB_104,PCB_105,PCB_106,PCB_107,PCB_108+124,PCB_110,PCB_111,PCB_112,PCB_114,PCB_115,PCB_117,PCB_118,PCB_120,PCB_121,PCB_122,PCB_123,PCB_126,PCB_127,PCB_128+166,PCB_129+138+163,PCB_130,PCB_131,PCB_132,PCB_133,PCB_134,PCB_135+151,PCB_136,PCB_137,PCB_139+140,PCB_141,PCB_142,PCB_143,PCB_144,PCB_145,PCB_146,PCB_147+149,PCB_148,PCB_150,PCB_152,PCB_153+168,PCB_154,PCB_155,PCB_156+157,PCB_158,PCB_159,PCB_160,PCB_161,PCB_162,PCB_164,PCB_165,PCB_167,PCB_169,PCB_170,PCB_171+173,PCB_172,PCB_174,PCB_175,PCB_176,PCB_177,PCB_178,PCB_179,PCB_180+193,PCB_181,PCB_182,PCB_183,PCB_184,PCB_185,PCB_186,PCB_187,PCB_188,PCB_189,PCB_190,PCB_191,PCB_192,PCB_194,PCB_195,PCB_196,PCB_197,PCB_198+199,PCB_200,PCB_201,PCB_202,PCB_203,PCB_205,PCB_206,PCB_207,PCB_208,PCB_209
AVL_S,Control,3,5.8828419,0.057838165,0.000744955,0.002527435,0.666136433,0.000920991,0.073203835,0.008194656,0.235158149,0.003118445,0.071214007,0.004671094,0.007035418,0.000250444,0.016752655,0.035300101,0.306520656,0.105600002,0.316667769,0.246291287,0.033128652,0.040278694,0.000725732,0.000977762,0.078550386,0.097698801,0.136166726,0.178592071,0.182919315,0.00841678,0.002254649,0.000502168,0.012507881,0.00062213,0.002033811,0.149542061,0.008573666,0.074605571,0.034358455,0.334187822,0.053720173,0.0238721,0.047597456,0.190831658,0.097515821,0.043945526,0.274277675,0.007861234,0.003065863,0.050727421,0.006189916,0.002744791,0.028709564,0.014916438,0.257833214,0.022423264,0.08151978,0.159901138,0.007675493,0.00722687,0.006068123,0.00242428,0.006534568,0.000163659,0.001431314,0.000222972,0.00064582,0.014967842,0.023908254,0.038430137,0.01650869,0.037346025,0.022250382,0.022259729,0.004121564,0.082881158,0.016480946,0.032419371,0.007823828,0.006460226,0.102602154,0.004325524,0.000860028,0.050097374,0.01202452,0.003935103,0.00031796,0.020554679,0.000412093,0.007869101,0.002438734,0.091203547,0.000475441,0.000971677,0.002904788,0.00272752,0.007002627,0.054581169,0.000544793,0.000152938,0.001856139,0.001550289,0.000139897,0.000217902,0.004078088,0.026692107,0.003155215,0.001225571,0.009988683,0.00147824,0.004234606,0.012782978,0.005372721,0.003551114,0.003389806,0.003897255,0.000468746,0.000589868,0.002340788,0.00058779,0.004963671,0.024347363,0.001368283,0.001113331,0.000573108,0.016705485,0.00220922,0.000665451,0.003202073,0.003460894,0,0.000267645,0.000505908,0.00033051,0.002014621,0.000233359,0.001503922,0.000393178,0.002229184,0.001554391,0.000975047,0.002630655,0.000523283,0.000709629,0.00183183,0.001409419,0.001991537,0.004313231,0.009156885,0.018687775,0.002082435,0.023018652,0.000715398,0.002522157,0.004214864,0.01475224,0,0.00118851,0.000144755,0,0.000788196,0.000929523,0.000852163,0.000418094,0.002003479,0.000430542,0.000376017,0.000627121,0.001274976,0,0.000707416,0.000453767,8.25E-05,0.001094689
AVL_S,Control,3,5.20561235,0.048654391,0.000698047,0.002025281,0.594093732,0.000761939,0.061932518,0.0072233,0.191503383,0.002741925,0.061838839,0.003927035,0.00650903,0.000177824,0.015233758,0.03127176,0.270341044,0.093201706,0.283763543,0.222580317,0.030094032,0.036964877,0.000664041,0.000915292,0.067817808,0.084554779,0.123843325,0.15978428,0.160744293,0.007478699,0.00216929,0.000252921,0.010736535,0.000512286,0.001641357,0.131952853,0.009107922,0.065932554,0.030317488,0.301140844,0.045457124,0.022432834,0.0424616,0.172650197,0.089008919,0.043878397,0.245802626,0.007261374,0.002984979,0.043587367,0.00581717,0.0022351,0.027286604,0.012867789,0.213223782,0.01987102,0.071448374,0.132153462,0.006550268,0.006074655,0.005358019,0.00241537,0.00624453,0.000238197,0.00140048,0.000117161,0.000696606,0.013018858,0.013357795,0.0304338,0.013919132,0.03515248,0.020180308,0.018960666,0.004121451,0.072775258,0.013535948,0.030861587,0.006522568,0.005557703,0.087322962,0.00365156,0.000667116,0.049932337,0.011073813,0.003622245,0.00036217,0.019956519,0.00029191,0.007156756,0.002628097,0.082694313,0.000280802,0.001050163,0.002268287,0.002185087,0.006657781,0.048852997,0.000566629,0.00014033,0.001593386,0.001547,0.000283689,0.000248199,0.004310067,0.026173852,0.003045051,0.001180209,0.009630485,0.001601798,0.004065871,0.012087884,0.004765007,0.003481851,0.003056858,0.004209408,0.000363853,0.000436875,0.002324185,0.000459668,0.004353228,0.022733424,0.001266914,0.000965409,0.000599752,0.016145894,0.002051097,0.000630998,0.003459233,0.003393391,0.000237561,0.000253849,0.00049433,0.000157506,0.001790089,0.000426744,0.001601578,0.000408711,0.002209389,0.001484346,0.000790077,0.002426307,0.000529844,0.000747169,0.001833756,0.001324177,0.001956879,0.004381265,0.008033726,0.016046813,0.0020083,0.018710728,0.000749583,0.002383503,0.004384314,0.01216398,0,0.000780635,0.000308257,0,0.001592641,0.000646051,0.001043192,0.000436602,0.002207064,0.000691668,0.000503867,0.000739739,0.001212227,0,0.000817479,0.000495972,0.000448745,0.001300866
AVL_S,Control,3,5.194850931,0.053406424,0.000631179,0.002264399,0.640931116,0.001099852,0.067111872,0.007906743,0.206452086,0.003147697,0.066239392,0.004238305,0.006809085,0.000169421,0.016371034,0.032301383,0.275949999,0.094836232,0.288600315,0.21937932,0.029132677,0.036589489,0.000679335,0.000943267,0.069491251,0.087226467,0.122936144,0.16045157,0.162595346,0.007995095,0.002154526,0.000374763,0.011002774,0.000503667,0.001657405,0.126548499,0.007905516,0.065857387,0.030313405,0.297525139,0.038650292,0.021391418,0.04095998,0.168052363,0.085485323,0.044467145,0.24234929,0.007129006,0.003284606,0.041836527,0.005136842,0.002253032,0.0259045,0.012431588,0.207103869,0.018318631,0.069135396,0.125484579,0.006090546,0.006209246,0.005545554,0.002561336,0.006170165,0.000384561,0.000847652,0.000302605,0.000368603,0.012402782,0.013572385,0.029518483,0.013203409,0.033553686,0.018158174,0.016559641,0.003505074,0.065291364,0.01339116,0.026104705,0.005357577,0.005224009,0.08021832,0.003573268,0.000499104,0.043798847,0.010117971,0.003119667,0.000409485,0.018237366,0.000169366,0.006628363,0.002242564,0.077104202,0.000354936,0.000927202,0.002351358,0.001904683,0.006703164,0.046274125,0.000600063,0.000218991,0.001498719,0.00128224,0.000455267,0.000267438,0.003638795,0.021760753,0.002214719,0.001181494,0.008723504,0.001670976,0.003574688,0.010037449,0.004389919,0.003817145,0.003475434,0.003401064,0.000504393,0.000634981,0.002086923,0.000536467,0.004080552,0.019593784,0.001549559,0.001269044,0.000610208,0.013660113,0.002116935,0.000704254,0.003285914,0.002904395,0.000258086,0.000208656,0.000581466,0.000209948,0.001353076,0.00037369,0.001433002,0,0.001315585,0.001350899,0.000672672,0.002080686,0.000568082,0.000686398,0.001558287,0.001083395,0.001608543,0.003671363,0.010000439,0.021986566,0.001705327,0.024171291,0.000688034,0.00288666,0.0037609,0.016018306,0,0.000493639,0.000229442,0,0.001430766,0.000773863,0.000955574,0.000413023,0.001648766,0.000505792,0.000366771,0.000560688,0.001017512,0,0.000605528,0.00033999,0.000234187,0.001237181
AVL_S,Control,11,5.198206431,0.011102069,0.000166407,0.000324255,0.455899812,0.000427192,0.043809607,0.004340713,0.124569567,0.001760321,0.049481446,0.003823511,0.005312925,0,0.014796953,0.03165208,0.259241847,0.089565652,0.291589396,0.215536333,0.026050592,0.031217523,0.000585511,0.001126897,0.067611044,0.086290242,0.128291512,0.146693204,0.170468209,0.007223362,0.002151941,0.000449286,0.010222578,0.000644184,0.001977262,0.14589593,0.009293122,0.072899596,0.032469777,0.339292013,0.054087075,0.023865528,0.041899988,0.190696973,0.094656066,0.045254579,0.274123591,0.008078946,0.003773243,0.048754665,0.00597546,0.002689718,0.028856294,0.012986445,0.218494527,0.019386335,0.076288516,0.140462975,0.006731265,0.006518724,0.006171303,0.003082689,0.007246251,0.000134911,0.00150976,0,0.000508177,0.015251453,0.024314255,0.034365649,0.016588529,0.04202369,0.024748258,0.019196496,0.004072778,0.088022536,0.017722795,0.035167156,0.007563862,0.006271682,0.099812038,0.004219605,0.001008339,0.05570354,0.012682497,0.003852685,0.000456397,0.021387127,0.000345697,0.008649344,0.002741383,0.098013872,0.000368172,0.00143292,0.002793691,0.002133942,0.010023161,0.057294887,0.000534223,0.000200571,0.001812169,0.002215056,0.000407443,0,0.004634912,0.029008515,0.003447652,0.001548985,0.01120017,0.002038696,0.004984565,0.014783719,0.005981893,0.003718599,0.003573588,0.004511076,0.000332957,0.00067704,0.002987684,0.000548699,0.005615758,0.027215519,0.001408594,0.001049077,0.000818088,0.018261607,0.002235213,0.000633629,0.003807739,0.00377051,0,0.000322445,0.000514867,0,0.002169678,0.000647246,0.001756857,0.000533347,0.002375131,0.001734649,0.00098008,0.003093916,0.000954748,0.001058525,0.002557341,0.001542039,0.002519928,0.004537883,0.007912442,0.015874332,0.002743874,0.018775652,0.000765973,0.002472025,0.00534417,0.012755676,0,0.001178316,0.000366301,0,0.00108947,0.000833674,0.001321639,0.000456332,0.00240462,0.000748083,0.000537519,0.000939521,0.001543694,0.000464786,0.001130597,0.000455735,0.000387711,0.001725353
AVL_S,Control,11,6.772814877,0.017972074,0.000158647,0.000456341,0.69999523,0.001054501,0.074490064,0.006664658,0.219235244,0.002753672,0.074937305,0.005580319,0.007669764,0.000206248,0.020401689,0.042167591,0.371433032,0.12513745,0.364764855,0.299429142,0.039059019,0.046777602,0.001254992,0.001410514,0.095304536,0.120705503,0.164692428,0.216968914,0.216464592,0.010748678,0.003087578,0.000562408,0.014316107,0.000835528,0.002482772,0.169777566,0.014069424,0.086290891,0.040519904,0.397468208,0.047258685,0.027904706,0.055967663,0.231664903,0.116314862,0.063472698,0.328758354,0.009628595,0.003493398,0.056579122,0.007680324,0.003014421,0.036164247,0.0170914,0.28625252,0.025930137,0.094844007,0.174555783,0.008912916,0.008369211,0.007729769,0.003416641,0.007660154,0.000610836,0.001085645,0.000289053,0.000614046,0.017786259,0.036956081,0.042611802,0.020671086,0.046344422,0.027349101,0.023934802,0.005484156,0.097612747,0.020910795,0.040614671,0.009363198,0.008200799,0.118686061,0.004618806,0.001581639,0.061742884,0.013930403,0.005164084,0.000373176,0.0256986,0.00027245,0.009878993,0.003393033,0.116989505,0.000734507,0.00123703,0.003515383,0.002463356,0.010562453,0.065469034,0.000927065,0.000194455,0.002820732,0.00174684,0.000383395,0,0.005369587,0.035138738,0.003899384,0.00208664,0.014767823,0.002910862,0.005826105,0.018872751,0.007387727,0.004705405,0.004026713,0.00491684,0.000650179,0.000931152,0.003270785,0.000707224,0.006275393,0.033888546,0.001474288,0.001199168,0.000872491,0.02095142,0.002506569,0.000837131,0.00476646,0.004633873,0.000340984,0.000385621,0.000671391,0.000593677,0.002404754,0.000778193,0.002001148,0.000532061,0.003198251,0.002166753,0.001021714,0.003615769,0.001437074,0.001122212,0.002595818,0.002141835,0.003020837,0.005568126,0.009456148,0.017800892,0.002834592,0.020929854,0.000879831,0.002569057,0.006169019,0.013957062,0,0.001603981,0.000575723,0,0.00166694,0.001096248,0.001516867,0.000405704,0.003272542,0.000879313,0.000633503,0.001166986,0.001941005,0,0.001453895,0.000593415,0.000589385,0.001560556
AVL_S,Control,11,6.138796255,0.018798815,0.000217974,0.000459794,0.651229334,0.000809808,0.06462165,0.006432548,0.190532297,0.002564827,0.069826878,0.004484076,0.006777962,0.000198029,0.017039887,0.036918452,0.314146946,0.112381169,0.324195321,0.261723845,0.033717129,0.04117863,0.000810754,0.000892612,0.08040682,0.103471859,0.142094551,0.189997022,0.18971341,0.008852395,0.002670578,0.000498198,0.013159836,0.000615877,0.001960191,0.165757867,0.010755342,0.078461843,0.03702907,0.36402744,0.039826395,0.025000617,0.050502084,0.208592215,0.105729167,0.057802686,0.300842887,0.008386064,0.003734822,0.054579173,0.006411134,0.002659923,0.031701583,0.015585798,0.277270675,0.024250894,0.08800232,0.165355264,0.007890055,0.007756498,0.007049261,0.003183376,0.007652106,0.000784386,0.001392807,0.000268073,0.000341687,0.016731617,0.024619429,0.040851354,0.019602396,0.044064337,0.028198668,0.031108802,0.004922046,0.094211466,0.014190446,0.037394249,0.008357639,0.007118175,0.107386856,0.004609803,0.001582925,0.06297705,0.014576035,0.004399975,0.000390748,0.023629489,0.000456219,0.008706436,0.00337655,0.107315682,0.000397867,0.001015505,0.003308714,0.002023116,0.009298842,0.060743394,0.000859778,0.000273421,0.002109679,0.002157912,0.000362824,0.000341015,0.005212061,0.033007684,0.003842252,0.001605114,0.01295794,0.002496615,0.005560547,0.017051846,0.006427036,0.004259126,0.003559873,0.004792661,0.000733697,0.000711824,0.003204316,0.000563995,0.005919242,0.03102338,0.001353213,0.001056136,0.000798771,0.020165919,0.002170802,0.000744093,0.00457729,0.004425674,0,0.000368397,0.00042299,0.00051286,0.002380896,0.000695736,0.001905638,0.000640281,0.003437148,0.002410973,0.001202094,0.003683115,0.001171895,0.001014109,0.002754128,0.001930088,0.003025191,0.005751207,0.007637937,0.014450023,0.002665647,0.016636135,0.001149707,0.002141582,0.006544009,0.011403293,0,0.001692485,0.000584461,0,0.00164899,0.001272428,0.001630163,0.000441113,0.002884371,0.000814334,0.000674163,0.001166856,0.001693268,0,0.001991651,0.000516546,0.000632023,0.001343766
AVL_S,Control,16,6.091870393,0.006324317,0.000112402,0.000298826,0.545868781,0.000514471,0.050814484,0.004293514,0.144872355,0.001815942,0.059929187,0.004621686,0.006032811,0.000135031,0.015769005,0.037615948,0.33168528,0.113986837,0.32789151,0.270233632,0.033698365,0.041350399,0.000802117,0.001219269,0.08291524,0.107838394,0.151558809,0.193963723,0.195133212,0.00920939,0.003004184,0.000576748,0.013396646,0.000928093,0.002384284,0.163596333,0.01205159,0.083503255,0.037966688,0.377393769,0.0570986,0.025952961,0.052300649,0.219912271,0.107677946,0.052207072,0.312443131,0.00893499,0.003000696,0.054746997,0.006470992,0.002626217,0.032050215,0.015617491,0.268559502,0.02505452,0.088882575,0.162096452,0.00870272,0.007796373,0.007159604,0.003766474,0.008538486,0.000449426,0.002003378,0,0.000628154,0.017143055,0.031777676,0.038618472,0.019704909,0.044777642,0.028500658,0.026442989,0.004696848,0.096042162,0.016497192,0.037305516,0.008540588,0.007901993,0.116891427,0.004508236,0.000643117,0.059214793,0.014411487,0.005135435,0.000471031,0.023046643,0.000447483,0.009353517,0.003147829,0.072341024,0.000768671,0.001137393,0.003022638,0.036302434,0.00820952,0.063198056,0.00088052,0.000245445,0.002864131,0.001932077,0.00069396,0.000732712,0.005381641,0.03450875,0.003892596,0.00188183,0.013590011,0.00286755,0.005828519,0.017366864,0.007113297,0.004325917,0.003656981,0.005323835,0.000887643,0.000676308,0.003335213,0.000661397,0.006473099,0.030973294,0.001537823,0.00113775,0.000877582,0.021594014,0.00245549,0.000685351,0.004950704,0.004519852,0,0.000413024,0.000489241,0.000536243,0.002500037,0.000613837,0.002346324,0.000770774,0.003002695,0.00227013,0.001802728,0.003842384,0.001474767,0.001142399,0.003150117,0.002196567,0.003106702,0.005652168,0.008973719,0.018044425,0.0031041,0.020094248,0.001002918,0.002713889,0.006523109,0.013633314,0,0.001650615,0,0,0.001617525,0.001206432,0.001503545,0.000467217,0.003063423,0.000781952,0.000760674,0.001189167,0.001745195,0,0.00170134,0.000461763,0.000444945,0.001839735
AVL_S,Control,16,5.115095958,0.006984079,0.000132207,0.000375005,0.41891227,0.000606135,0.041067317,0.003959018,0.114828052,0.001565882,0.045513195,0.003831874,0.005318743,0.000222932,0.012986764,0.031121211,0.262314396,0.094531677,0.275740936,0.214976244,0.027272829,0.033898926,0.000643591,0.000964551,0.074231735,0.095699187,0.129516221,0.155930107,0.165882887,0.007700328,0.002188067,0.000446872,0.010212266,0.000599937,0.002015861,0.13064216,0.0089768,0.07183032,0.032775175,0.340551744,0.04730845,0.024677402,0.04225985,0.217352131,0.102971242,0.055956382,0.274327614,0.008503212,0.00316137,0.042628804,0.00558151,0.002524233,0.028266128,0.011841629,0.212797926,0.019262733,0.071218786,0.132916972,0.006804922,0.007947479,0.007672073,0.003936973,0.0066785,0.000302064,0.00148712,0,0.00038604,0.013455828,0.028476899,0.033867476,0.014922137,0.036934707,0.020706635,0.018318083,0.004179494,0.076942009,0.016730275,0.03148281,0.009894784,0.006230718,0.090725223,0.003892849,0.000682728,0.048587616,0.011617948,0.005298967,0.000660212,0.018512252,0.000205758,0.007396646,0.002180886,0.064332223,0.000487509,0.000921122,0.002646361,0.026945289,0.008560474,0.048047106,0.000681933,0.000305799,0.00216675,0.001362547,0.00017605,0.000294453,0.004469826,0.027680748,0.002790154,0.001486525,0.011222968,0.002369119,0.004277458,0.014366063,0.006154716,0.004570574,0.004785276,0.00414486,0.000738782,0.001113826,0.003046462,0.000815064,0.004611235,0.027813205,0.002193581,0.001797358,0.000912971,0.016793235,0.003010355,0.000978302,0.003765087,0.003357125,0,0.000219579,0.000367173,0.000451833,0.001761554,0.000281789,0.001943603,0.00038081,0.001680093,0.001681275,0.000531831,0.002527345,0.001040748,0.00092743,0.00212783,0.001797686,0.001967568,0.003829091,0.011254394,0.024667057,0.002181623,0.027478926,0.000751438,0.003487083,0.004501096,0.018665006,0,0.001015283,0,0,0.001377498,0.000857807,0.001118826,0.000564584,0.00170345,0.000512296,0.000568134,0.000657902,0.00140224,0,0.002154258,0.000730959,0.00060407,0.001490307
AVL_S,Control,16,4.933448277,0.005481177,9.12E-05,0.000272153,0.383273398,0.000458934,0.031771455,0.002869453,0.087696221,0.001160021,0.04330193,0.003451609,0.004015253,0.000104655,0.010317277,0.028525999,0.24539895,0.08386522,0.280033043,0.200798398,0.023169392,0.028842036,0.000643073,0.000866033,0.062523444,0.081083394,0.122763637,0.136149189,0.159113263,0.006654789,0.002080865,0.000393773,0.009593234,0.000704081,0.001619033,0.141601969,0.012091413,0.072188034,0.031286257,0.324130371,0.056472343,0.023245687,0.040361018,0.188746138,0.092958887,0.040914893,0.266916472,0.007804913,0.002778054,0.047061317,0.005371392,0.002469029,0.028525389,0.011722818,0.210991485,0.019390961,0.07554561,0.142786511,0.006606327,0.00688596,0.006329646,0.002865149,0.007058885,0,0.001238263,0,0.000267961,0.015771919,0.034990376,0.03626219,0.017893102,0.041452373,0.026197378,0.027973971,0.004333982,0.087192078,0.012359314,0.034057141,0.007563148,0.006620839,0.100930857,0.00416239,0.000696902,0.051406023,0.012631675,0.00414308,0.000410176,0.022329739,0.00035906,0.008474172,0.002683492,0.08133803,0.000420532,0.001010927,0.002829532,0.0202362,0.008539663,0.058358355,0.000848919,0.000194797,0.002048619,0.001669605,0.000479214,0.000469176,0.005031853,0.030663895,0.003889982,0.001624124,0.01193191,0.002183161,0.004523751,0.015297016,0.006052683,0.00397194,0.00335454,0.004480913,0.000719993,0.000847637,0.003077354,0.00046665,0.005495778,0.028115439,0.001131588,0.001007473,0.000680255,0.019118927,0.002100256,0.000587995,0.003845768,0.004152537,0.000285885,0.000374495,0.000421257,0.000590119,0.002139036,0.000452864,0.001680828,0.00066856,0.002394783,0.002062925,0.001194611,0.003441093,0.00066973,0.001236172,0.002493696,0.001831257,0.002884746,0.005136001,0.006855644,0.013302377,0.002797861,0.015099096,0.00090375,0.001809588,0.005707121,0.010317246,0,0.001117406,0,0,0.001475134,0.000823718,0.0015962,0.000348327,0.003019215,0.000843418,0.000537291,0.000978643,0.001891395,0,0.001973805,0.000475488,0.000312108,0.001914253
AVL_S,Control,35,4.886646267,0.001870451,2.81E-05,0.000121732,0.189365813,0.00021966,0.012152216,0.001209678,0.030606558,0.000398048,0.025944598,0.002867067,0.003053681,9.20E-05,0.008407997,0.023793972,0.211071362,0.058741431,0.230516396,0.208036371,0.01926683,0.024384063,0.00044565,0.001170958,0.074803385,0.085224808,0.116529771,0.120604568,0.148529127,0.006865959,0.002159023,0.000515296,0.008538121,0.00075911,0.001850979,0.164702362,0.008483637,0.093374993,0.036154551,0.382421214,0.061491343,0.02615425,0.042391934,0.235249795,0.097983857,0.039902192,0.298973006,0.007221448,0.0047036,0.054813939,0.005723918,0.002319187,0.034820457,0.009838938,0.258494678,0.020035793,0.084099511,0.17627281,0.007125843,0.006709051,0.00675288,0.00483837,0.00797027,0,0.000911345,0,0.00043211,0.017259465,0.031144567,0.043515642,0.019057476,0.043191593,0.030789655,0.024647264,0.005337397,0.106008998,0.019665742,0.040615966,0.007722572,0.00661519,0.120652871,0.005011623,0.001637826,0.058397501,0.013905643,0.004578322,0.000404352,0.023691996,0.00036482,0.008786602,0.003246922,0.069142393,0.000654031,0.001566648,0.002805054,0.049999363,0.009147416,0.062471368,0.000671414,0.000220183,0.002510048,0.00211588,0.00024312,0,0.004162874,0.027854837,0.002749086,0.001429623,0.011740328,0.001701222,0.004873852,0.015587112,0.00648052,0.003639228,0.0032494,0.004401887,0.00041066,0.00053065,0.003113257,0.000559342,0.004723986,0.028156991,0.001263019,0.001116545,0.000725375,0.017087686,0.002178218,0.000476845,0.003040845,0.00373471,0.000153885,0.000173297,0.000370847,0.000326544,0.001864158,0.000163485,0.001449289,0.000239518,0.00173834,0.000986883,0.000804397,0.002441072,0.00030528,0.000669036,0.001352774,0.001021452,0.002060201,0.003155363,0.007892509,0.016562251,0.001733168,0.01943645,0.000527221,0.002261864,0.003599505,0.012821405,0.000372842,0.000722769,0.000309803,0.000171773,0.000712074,0.000591073,0.000469821,0.000318198,0.001244722,0.000457706,0.00024786,0.000420015,0.000890913,0,0.000732522,0.000340254,0.000353508,0.000883148
